iter	Passed	Remaining
0	6	6360
1	9	4931
2	16	5439
3	20	5096
4	23	4609
5	25	4194
6	29	4141
7	31	3905
8	33	3735
9	38	3813
10	40	3657
11	43	3607
12	46	3508
13	51	3629
14	55	3650
15	60	3739
16	68	3943
17	70	3837
18	73	3771
19	77	3807
20	81	3801
21	84	3736
22	86	3674
23	89	3642
24	91	3578
25	94	3553
26	97	3496
27	102	3546
28	106	3580
29	109	3535
30	111	3496
31	114	3457
32	116	3417
33	120	3412
34	124	3443
35	129	3475
36	131	3431
37	134	3396
38	136	3366
39	143	3454
40	150	3516
41	155	3540
42	158	3524
43	161	3518
44	166	3535
45	172	3575
46	178	3626
47	190	3775
48	193	3751
49	196	3736
50	199	3704
51	202	3693
52	205	3665
53	208	3652
54	210	3621
55	213	3600
56	219	3634
57	222	3608
58	238	3809
59	242	3805
60	245	3774
61	249	3768
62	252	3753
63	255	3731
64	257	3704
65	260	3683
66	262	3655
67	267	3665
68	270	3646
69	273	3636
70	276	3612
71	279	3596
72	285	3620
73	291	3653
74	298	3686
75	301	3665
76	304	3645
77	308	3652
78	311	3630
79	315	3625
80	322	3653
81	326	3660
82	329	3641
83	332	3629
84	335	3607
85	339	3603
86	342	3598
87	345	3581
88	350	3589
89	353	3571
90	356	3560
91	362	3581
92	368	3592
93	371	3577
94	373	3557
95	375	3537
96	380	3541
97	382	3520
98	386	3519
99	391	3520
100	393	3500
101	397	3502
102	400	3485
103	402	3470
104	405	3454
105	410	3458
106	414	3461
107	417	3446
108	421	3442
109	423	3428
110	428	3428
111	432	3429
112	434	3413
113	440	3425
114	444	3423
115	448	3418
116	450	3401
117	453	3388
118	457	3388
119	463	3396
120	465	3382
121	468	3372
122	471	3358
123	487	3443
124	490	3431
125	493	3421
126	498	3427
127	502	3424
128	505	3411
129	510	3415
130	513	3403
131	515	3390
132	518	3380
133	521	3372
134	526	3374
135	529	3362
136	535	3376
137	540	3378
138	545	3378
139	547	3366
140	550	3353
141	553	3345
142	557	3341
143	560	3329
144	563	3320
145	565	3307
146	570	3310
147	575	3314
148	578	3303
149	582	3298
150	586	3295
151	589	3289
152	591	3276
153	594	3266
154	602	3286
155	607	3284
156	610	3279
157	613	3268
158	617	3268
159	623	3272
160	628	3274
161	633	3275
162	635	3264
163	640	3265
164	644	3263
165	647	3251
166	653	3259
167	657	3256
168	662	3259
169	665	3247
170	670	3248
171	675	3250
172	677	3239
173	681	3236
174	684	3226
175	687	3218
176	691	3216
177	694	3205
178	696	3194
179	699	3186
180	702	3176
181	705	3170
182	708	3164
183	711	3156
184	714	3149
185	720	3151
186	726	3156
187	729	3152
188	735	3154
189	737	3145
190	741	3139
191	743	3129
192	746	3121
193	748	3111
194	751	3103
195	754	3094
196	758	3092
197	761	3082
198	765	3079
199	769	3078
200	773	3075
201	776	3067
202	779	3059
203	782	3052
204	785	3045
205	788	3037
206	790	3028
207	794	3024
208	796	3014
209	800	3010
